127.0.0.1 - - [21/Jul/2015:14:47:23 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/browse-project.css HTTP/1.1" 200 1069
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/bd5a394963c3e858016ade4b09c617e2-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-header-plugin:jira-header/layout-overrides.css HTTP/1.1" 200 288
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.3.13/_/download/resources/com.atlassian.plugins.atlassian-nav-links-plugin:rotp-menu/appswitcherdiscovery.css HTTP/1.1" 200 155805
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/userhover.css HTTP/1.1" 200 6783
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:internal-aui-browser/browser.js HTTP/1.1" 200 703
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:dialog2/dialog2.js HTTP/1.1" 200 2568
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/7c63d0ccf99b65f36ba3788e44cf543b-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:global-static/wiki-renderer.css HTTP/1.1" 200 8662
192.168.123.146 - - [21/Jul/2015:14:48:12 +0200] "GET /jira/s/eaba02c5da3794e4374961fae87bb696-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.jira-header-plugin:jira-header-theme/header-theme.css HTTP/1.1" 200 1300
192.168.123.146 - - [21/Jul/2015:14:48:13 +0200] "GET /jira/s/1f110918f0bf91d966e7a0b7806356e0-CDN/fr_FR3c00tt/64019/3/5.7.27/_/download/resources/com.atlassian.auiplugin:dialog2/dialog2.soy.js?locale=fr-FR HTTP/1.1" 200 5094
192.168.123.146 - - [21/Jul/2015:14:48:13 +0200] "GET /jira/s/1f110918f0bf91d966e7a0b7806356e0-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/js/dashboard.js?locale=fr-FR HTTP/1.1" 200 11008
